h,chi,s_max,C_max,s_limit,C_limit,relative_C_error
0.009,0.0,2.9255482795083796,0.32080254985995965,3.0,0.3247595264191645,0.01218432790204782
0.009,0.02,2.8685838235316807,0.3240613805989192,2.9414811457132175,0.3279501164795779,0.011857705441311706
0.009,0.04,2.814398836281881,0.32720486486190736,2.8858503034171705,0.3310261436268721,0.011543737068912652
0.009,0.06,2.762891650047546,0.3302322980805554,2.8329985224215704,0.3339870837379392,0.011242307981975785
0.009,0.08,2.7139632823001274,0.3331433883851829,2.782819988451182,0.33683281214329663,0.010953278971361446
0.009,0.1,2.6675173085439914,0.3359382462540796,2.735211842429309,0.3395635925950701,0.010676487173681526
0.009,0.12,2.62345964739133,0.3386173710047386,2.6900740147752176,0.3421800632449167,0.010411746980209302
0.009,0.14,2.581698260209049,0.341181634348936,2.6473090759011937,0.34468321985491124,0.010158851096520372
0.009,0.16,2.5421436094539946,0.34363226127628355,2.606822103448028,0.347074396504299,0.009917571744514464
0.009,0.18,2.5047078360527273,0.3459708085681998,2.5685205666104336,0.3493552440895773,0.009687661996307995
0.009,0.2,2.46930523585497,0.34819914127518425,2.532314227680362,0.35152770694371177,0.009468857227406313
0.009,0.22,2.43585203145318,0.350319407514042,2.498115060682838,0.3535939979216741,0.00926087667460207
0.009,0.24,2.404266176759921,0.3523340119576935,2.4658371867043543,0.35555657231337384,0.009063425082296406
0.009,0.26,2.374467535170027,0.3542455883980872,2.4353968252285987,0.3574181009511553,0.008876194419436101
0.009,0.28,2.3463780616720395,0.3560569717624109,2.4067122605099875,0.3591814428772864,0.008698865648086862
0.009,0.3,2.3199210275789555,0.35777116995446645,2.3797038217445823,0.3608496179274907,0.00853111052383837
0.009,0.32,2.2950219801565224,0.35939133587717437,2.3542938755527114,0.36242577957003574,0.008372593407845574
0.009,0.34,2.271608036914939,0.36092073996941865,2.3304068290792364,0.3639131883168844,0.008222973070324713
0.009,0.36,2.2496084669558685,0.36236274356172404,2.3079691418555583,0.3653151859948373,0.008081904465791934
