region_zyx,frame,width_cells,reference_grid_peak,base_peak,radial_peak,axial_peak,sampled_peak_ratio,error_tolerance,conditional_status,model_retention_lower,model_retention_upper,false_reassurance_on_grid,false_underresolution_on_grid
16_16_16,laboratory,0.5,1.1165977960973001,1.1006512457670043,1.0664913713256947,1.0894762878386681,0.9857186263612272,0.00011165977960973001,resolved,0.9858536966444138,0.9861308334076523,False,False
16_16_32,laboratory,0.5,1.2693436201208261,1.2576091483285061,1.2338182973605187,1.253596548781523,0.9907554805441863,0.00012693436201208263,resolved,0.9924014329612615,0.9926735410928211,False,False
16_32_16,laboratory,0.5,1.709502819907761,1.6955951079748068,1.6732282124721323,1.6838810594373197,0.9918644697329574,0.00017095028199077612,resolved,0.9931017756748909,0.9933742725435442,False,False
16_32_32,laboratory,0.5,1.7151849194025255,1.69985875747704,1.6789157200183171,1.689963605811867,0.9910644259099338,0.00017151849194025257,resolved,0.9937660187510705,0.9940382756985082,False,False
32_16_16,laboratory,0.5,1.483219439865985,1.453296438417527,1.4028203239129726,1.432719033635957,0.979825641004839,0.0001483219439865985,resolved,0.983184208247982,0.9834648105615824,False,False
32_16_32,laboratory,0.5,1.8677365107695112,1.8576893778996093,1.824706909039315,1.8515192627751145,0.9946206904389514,0.00018677365107695114,resolved,0.9927567488327941,0.9930277263047917,False,False
32_32_16,laboratory,0.5,1.721638048402617,1.6979942118556806,1.6717871048940205,1.6886747574759382,0.9862666623981308,0.0001721638048402617,resolved,0.9928190499538829,0.9930928285088421,False,False
32_32_32,laboratory,0.5,1.7910339300139309,1.7405459843641025,1.6667552358128943,1.7109374108302822,0.9718107263052043,0.0001791033930013931,resolved,0.9794927267240677,0.9797774835501591,False,False
16_16_16,laboratory,1.0,1.1165977960973001,1.055750980642243,0.994622210902307,1.0273171247940518,0.945506953651774,0.00011165977960973001,resolved,0.9704297040599487,0.9707278580627352,False,False
16_16_32,laboratory,1.0,1.2693436201208261,1.2299578833492861,1.1694187009289156,1.2198255785850556,0.9689715722778116,0.00012693436201208263,resolved,0.9800599618021584,0.9803431862086628,False,False
