case,a,b,true_retention,lower_retention,upper_retention,status
0,1.4969397237304536,2.127791360563429,0.5203477465524484,0.5198800957403006,0.5208435096528937,underresolved
1,16.448037718352314,0.4925536321962122,0.43942296921780954,0.4390458021890633,0.44248858904241384,underresolved
2,0.9541435023632124,0.07945479870446086,0.026056235671934946,0.0,0.04965784026293265,underresolved
3,0.4171380814317423,3.93281182626011,0.0553007296250975,0.050167830742633084,0.06270539749557442,underresolved
4,0.07394390544981017,8.093788862706772,0.0003979836810382116,0.0,0.825554002745693,underresolved
5,0.18333588324988823,0.7505187033293821,0.0035200549967291947,0.0,0.08923159754472448,underresolved
6,1.0343349985770944,26.354903327174018,0.37133278384917695,0.3704256298815632,0.3720867683509415,underresolved
7,0.048543168495681396,0.910617028025602,7.674559888911932e-05,0.0,1.0,indeterminate
8,0.09050513029870301,16.697465337188255,0.0007310175419058063,0.0,0.49018203443636854,underresolved
9,0.03834949043885196,3.9002576646502476,5.4512525388993774e-05,0.0,1.0,indeterminate
10,22.676076874542623,3.4104593077147247,0.9568069959769588,0.9565378990334569,0.9568621783989703,resolved
11,0.8588709412739265,0.054433057199211814,0.015033394927541707,0.0,0.05935430269378775,underresolved
12,0.2565149779843128,0.048048569594717414,0.0007362145116506116,0.0,0.8932900424650351,underresolved
13,0.039854611341465965,13.11504920965619,6.297135190340852e-05,0.0,1.0,indeterminate
14,0.06967282783050403,0.28472821219602945,9.194735286667272e-05,0.0,1.0,indeterminate
15,21.050916613149735,0.39687740075963424,0.3676421368454078,0.3639195818290443,0.3691702801479683,underresolved
16,0.32360957700734844,0.07035241524388919,0.0020482870090385847,0.0,0.17014421697185475,underresolved
17,0.04365927876842925,1.119467702602486,6.18870884214272e-05,0.0,1.0,indeterminate
18,0.10461958214961228,6.66286442884389,0.0011140645920555384,0.0,1.0,indeterminate
19,0.30283843267983335,4.290295669798016,0.023712833577139825,0.00831999965200818,0.03152912723741088,underresolved
20,3.3410492272838797,0.05402415221928627,0.04743114087705945,0.0,0.09290465796539046,underresolved
21,19.120375928236015,6.260113876808959,0.9834426285942995,0.983261723782953,0.9835469856387116,resolved
22,0.05695629465170072,1.3270090696214298,0.00014684517924398556,0.0,1.0,indeterminate
23,0.2223547819813407,0.5527236615241045,0.004946762080013721,0.0,0.032633865907481324,underresolved
24,0.4595700229023541,0.5142135419205294,0.03329870928005015,0.029924648908714862,0.04333748082308123,underresolved
25,0.22297681925002333,0.30038618000647305,0.0029654478066004136,0.0,0.0638310173543067,underresolved
26,0.07093411927844852,0.0639308701773441,2.2600645595423147e-05,0.0,1.0,indeterminate
27,6.338549312570179,0.05710771876958901,0.054950553285634376,0.0,0.0911541937649997,underresolved
28,0.796191577104225,25.033372946646338,0.24146818077579651,0.2392682109075574,0.24221994198729307,underresolved
29,0.16970679018855211,0.3185542378018551,0.0014216630769820237,0.0,0.15188785824504844,underresolved
30,3.728766085500551,0.1389476823223372,0.12400903867729099,0.11508366387854296,0.15344379818260467,underresolved
31,16.867860872961067,0.1454646411664908,0.14319405454053075,0.12148000484956849,0.16011873706193644,underresolved
32,0.13630609784955633,7.069162845996956,0.0024392211203839447,0.0,0.09504662506558728,underresolved
33,0.05998692101300284,3.5905206241842884,0.00020682704084938806,0.0,1.0,indeterminate
34,23.129425124042662,0.03286832781034445,0.03275869310067819,0.0,0.1476706933715101,underresolved
35,27.150693338559467,0.29964419992273184,0.28645210331119464,0.28448791018164643,0.29344981137236503,underresolved
