radius,total_true,total_filtered,broad_true
9.999999999999999e-06,0.004947810060289795,1.6082143761083613e-06,1.6487212706993037e-06
1.0053871573778857e-05,0.00497446466489901,1.6168780800498265e-06,1.6576031916568197e-06
1.0108033362203857e-05,0.005001262861621636,1.6255884567279003e-06,1.6665329609203519e-06
1.0162486928706949e-05,0.005028205424003886,1.634345757575956e-06,1.6755108362562514e-06
1.02172338451426e-05,0.005055293129759098,1.643150235381888e-06,1.684537076819507e-06
1.0272275691833045e-05,0.005082526760790135,1.6520021442953913e-06,1.693611943161208e-06
1.032761405761398e-05,0.005109907103211976,1.6609017398353063e-06,1.702735697236075e-06
1.0383250539880412e-05,0.005137434947374409,1.6698492788969938e-06,1.7119086024100196e-06
1.0439186744632744e-05,0.005165111087884827,1.6788450197597477e-06,1.7211309234677455e-06
1.049542428652322e-05,0.005192936323631204,1.6878892220942636e-06,1.7304029266204019e-06
1.0551964788902406e-05,0.005220911457805092,1.6969821469701124e-06,1.73972487951325e-06
1.0608809883866133e-05,0.005249037297924842,1.706124056863293e-06,1.7490970512334009e-06
1.0665961212302568e-05,0.005277314655858891,1.7153152156637987e-06,1.758519712317577e-06
1.0723420423939668e-05,0.00530574434784924,1.7245558886832515e-06,1.767993134759935e-06
1.0781189177392666e-05,0.005334327194534947,1.733846342662537e-06,1.7775175920198979e-06
1.0839269140212039e-05,0.005363064020975852,1.743186845779521e-06,1.787093359030058e-06
1.0897661988931622e-05,0.0053919556566763855,1.7525776676567844e-06,1.7967207122041164e-06
1.0956369409116979e-05,0.005421002935609494,1.762019079369405e-06,1.8063999294448516e-06
1.1015393095414145e-05,0.005450206696240756,1.7715113534527943e-06,1.816131290152161e-06
1.1074734751598418e-05,0.0054795677815525174,1.7810547639105442e-06,1.8259150752311016e-06
1.113439609062362e-05,0.0055090870390682644,1.7906495862223518e-06,1.8357515671000134e-06
1.1194378834671525e-05,0.0055387653208770725,1.8002960973519653e-06,1.845641049698669e-06
1.1254684715201551e-05,0.005568603483658192,1.8099945757551785e-06,1.855583808496466e-06
1.1315315473000827e-05,0.0055986023887058135,1.8197453013878786e-06,1.8655801305006804e-06
1.1376272858234309e-05,0.005628762901953867,1.8295485557141107e-06,1.8756303042647314e-06
1.1437558630495389e-05,0.005659085894001051,1.839404621714214e-06,1.8857346198965241e-06
1.1499174558856664e-05,0.0056895722401359506,1.8493137838929861e-06,1.8958933690668213e-06
1.156112242192098e-05,0.005720222820362291,1.8592763282878938e-06,1.9061068450176566e-06
1.1623404007872874e-05,0.005751038519424383,1.8692925424773449e-06,1.916375342570818e-06
1.1686021114530034e-05,0.005782020226832585,1.8793627155889654e-06,1.926699158136333e-06
1.1748975549395302e-05,0.0058131688368890265,1.8894871383079602e-06,1.937078589721039e-06
1.1812269129708804e-05,0.005844485248713388,1.8996661028854983e-06,1.9475139369371807e-06
1.1875903682500488e-05,0.005875970366268912,1.9098999031471634e-06,1.958005501011073e-06
1.1939881044642731e-05,0.005907625098388404,1.9201888345014115e-06,1.9685535847917707e-06
1.2004203062903456e-05,0.005939450358800529,1.930533193948115e-06,1.97915849275983e-06
1.2068871593999416e-05,0.0059714470661561565,1.940933280087131e-06,1.989820531036091e-06
1.2133888504649761e-05,0.006003616144054869,1.9513893931269173e-06,2.0005400073905107e-06
1.2199255671630029e-05,0.006035958521071669,1.961901834893213e-06,2.011317231251064e-06
1.2264974981826166e-05,0.006068475130783695,1.9724709088377305e-06,2.022152513712651e-06
1.2331048332289096e-05,0.006101166911797229,1.9830969200469247e-06,2.033046167546092e-06
1.2397477630289454e-05,0.006134034807774766,1.993780175250802e-06,2.043998507207154e-06
1.2464264793372616e-05,0.006167079767462235,2.004520982831766e-06,2.0550098488456205e-06
1.2531411749414155e-05,0.006200302744716436,2.015319652833538e-06,2.06608051031444e-06
1.2598920436675337e-05,0.00623370469853249,2.026176496970082e-06,2.077210811178869e-06
1.2666792803859168e-05,0.006267286593071569,2.037091828634616e-06,2.0884010727257174e-06
1.2735030810166629e-05,0.006301049397688713,2.048065962908658e-06,2.0996516179726184e-06
1.2803636425353196e-05,0.006334994086960787,2.0590992165711162e-06,2.1109627716773464e-06
1.2872611629785804e-05,0.006369121640714663,2.0701919081074482e-06,2.1223348603472117e-06
1.2941958414499863e-05,0.006403433044055423,2.0813443577188304e-06,2.133768212248456e-06
1.3011678781256827e-05,0.00643792928739484,2.092556887331417e-06,2.145263157415749e-06
1.3081774742601928e-05,0.006472611366479938,2.1038298206056267e-06,2.156820027661704e-06
1.3152248321922377e-05,0.006507480282421776,2.1151634829454997e-06,2.1684391565864738e-06
1.3223101553505607e-05,0.00654253704172427,2.1265582015080643e-06,2.1801208795873544e-06
1.3294336482598107e-05,0.0065777826563132875,2.138014305212802e-06,2.1918655338684853e-06
1.3365955165464433e-05,0.006613218143565846,2.1495321247511344e-06,2.2036734584505777e-06
1.3437959669446527e-05,0.0066488445263394565,2.1611119925959646e-06,2.215544994180695e-06
1.3510352073023517e-05,0.006684662833001694,2.1727542430112947e-06,2.2274804837421117e-06
1.3583134465871541e-05,0.006720674097459804,2.1844592120618447e-06,2.2394802716641776e-06
1.3656308948924175e-05,0.0067568793591905926,2.1962272376227715e-06,2.2515447043322808e-06
1.372987763443306e-05,0.006793279663270409,2.2080586593894235e-06,2.263674129997841e-06
1.3803842646028839e-05,0.006829876060405294,2.2199538188871314e-06,2.275868898788361e-06
1.3878206118782566e-05,0.006866669606961361,2.2319130594810912e-06,2.288129362717545e-06
1.3952970199267186e-05,0.006903661364995204,2.2439367263862515e-06,2.300455875695442e-06
1.4028137045619589e-05,0.006940852402284592,2.2560251666772885e-06,2.3128487935386714e-06
1.4103708827602893e-05,0.00697824379235928,2.2681787292986265e-06,2.325308473980693e-06
1.4179687726669037e-05,0.007015836614531971,2.2803977650745025e-06,2.3378352766821287e-06
1.4256075936021879e-05,0.007053631953929533,2.292682626719113e-06,2.3504295632411627e-06
1.433287566068032e-05,0.007091630901524216,2.3050336688467688e-06,2.3630916972039525e-06
1.4410089117542074e-05,0.007129834554165202,2.3174512479821467e-06,2.375822044075139e-06
1.4487718535447601e-05,0.0071682440146102295,2.3299357225705734e-06,2.38862097132839e-06
1.4565766155244572e-05,0.007206860391557478,2.342487452988393e-06,2.4014888484170278e-06
1.4644234229852357e-05,0.007245684799677469,2.3551068015533375e-06,2.4144260467846604e-06
1.4723125024327194e-05,0.007284718359645307,2.367794132535007e-06,2.4274329398759278e-06
1.4802440815927533e-05,0.007323962198172995,2.3805498121653804e-06,2.4405099031472747e-06
1.4882183894179744e-05,0.007363417448041942,2.393374208649379e-06,2.4536573140777837e-06
1.4962356560944327e-05,0.007403085248135708,2.4062676921755174e-06,2.4668755521800918e-06
1.5042961130482178e-05,0.007442966743472792,2.41923063492656e-06,2.4801649990113153e-06
1.5123999929521503e-05,0.0074830630852397205,2.4322634110902826e-06,2.4935260381840824e-06
1.520547529732497e-05,0.007523375430824269,2.445366396870269e-06,2.5069590553776057e-06
1.5287389585757183e-05,0.007563904943848842,2.4585399704967677e-06,2.5204644383488037e-06
1.536974515935271e-05,0.007604652794204113,2.4717845122376257e-06,2.5340425769435215e-06
1.545254439538414e-05,0.007645620158082692,2.4851004044092384e-06,2.547693863107747e-06
1.5535789683930842e-05,0.007686808218013144,2.498488031387607e-06,2.561418690898949e-06
1.561948342794791e-05,0.007728218162894079,2.5119477796194236e-06,2.575217456497446e-06
1.5703628043335513e-05,0.007769851188028464,2.525480037633226e-06,2.589090558217837e-06
1.5788225959008745e-05,0.007811708495158173,2.539085196050632e-06,2.6030383965205206e-06
1.5873279616967545e-05,0.007853791292498566,2.5527636475975825e-06,2.6170613740232207e-06
1.5958791472367336e-05,0.007896100794773432,2.5665157871157023e-06,2.631159895512634e-06
1.6044763993589808e-05,0.00793863822325001,2.5803420115736824e-06,2.6453343679561e-06
1.6131199662314312e-05,0.007981404805774283,2.5942427200787644e-06,2.659585200513373e-06
1.62181009735893e-05,0.008024401776806332,2.6082183138882272e-06,2.6739128045483973e-06
1.6305470435904466e-05,0.008067630377456008,2.6222691964209897e-06,2.6883175936412047e-06
1.6393310571263148e-05,0.008111091855518752,2.6363957732692545e-06,2.7027999835998508e-06
1.648162391525507e-05,0.008154787465511563,2.650598452210206e-06,2.7173603924724054e-06
1.6570413017129675e-05,0.008198718468709287,2.664877643217804e-06,2.7319992405590477e-06
1.665968043986952e-05,0.008242886133180903,2.6792337584745883e-06,2.7467169504241634e-06
1.6749428760264382e-05,0.00828729173382619,2.693667212383595e-06,2.761513946908563e-06
1.6839660568985612e-05,0.00833193655241249,2.708178421580316e-06,2.7763906571417434e-06
1.693037847066088e-05,0.008376821877611693,2.7227678049447167e-06,2.7913475105542095e-06
1.7021585083949502e-05,0.008421949005037484,2.737435783613353e-06,2.8063849388898917e-06
1.711328304161781e-05,0.008467319237282625,2.7521827809914905e-06,2.8215033762185756e-06
1.720547499061531e-05,0.008512933883956622,2.7670092227653562e-06,2.8367032589484563e-06
1.7298163592151032e-05,0.008558794261723492,2.7819155369144106e-06,2.851985025838728e-06
1.7391351521770327e-05,0.008604901694339745,2.7969021537237036e-06,2.8673491180122423e-06
1.748504146943224e-05,0.008651257512692651,2.811969505796316e-06,2.88279597896827e-06
1.757923613958693e-05,0.008697863054838537,2.82711802806581e-06,2.8983260545952597e-06
1.7673938251253903e-05,0.00874471966604147,2.842348157808812e-06,2.9139397931837426e-06
1.7769150538100406e-05,0.008791828698812041,2.857660334657618e-06,2.9296376454392513e-06
1.78648757485205e-05,0.00883919151294648,2.8730550006129117e-06,2.9454200644953624e-06
1.7961116645714155e-05,0.008886809475565754,2.8885326000564857e-06,2.96128750592673e-06
1.805787600776718e-05,0.008934683961155116,2.904093579764094e-06,2.9772404277622723e-06
1.815515662773137e-05,0.008982816351603747,2.91973838891834e-06,2.9932792904983788e-06
1.825296131370509e-05,0.009031208036244598,2.93546747912164e-06,3.009404557112201e-06
1.8351292888914478e-05,0.009079860411894566,2.951281304409281e-06,3.0256166930750355e-06
1.8450154191794737e-05,0.009128774882894685,2.9671803212624928e-06,3.041916166365734e-06
1.8549548076072196e-05,0.009177952861150732,2.9831649886216452e-06,3.0583034474842254e-06
1.8649477410846655e-05,0.009227395766173931,2.999235767899494e-06,3.0747790094650962e-06
1.8749945080674174e-05,0.009277105025121907,3.01539312299449e-06,3.09134332789124e-06
1.885095398565048e-05,0.00932708207283995,3.0316375203041992e-06,3.1079968809076083e-06
1.8952507041494465e-05,0.009377328351902286,3.0479694287387236e-06,3.124740149234976e-06
1.9054607179632484e-05,0.009427845312653787,3.064389319734265e-06,3.1415736161838423e-06
1.9157257347282956e-05,0.009478634413251807,3.0808976672667257e-06,3.1584977676683767e-06
1.9260460507541387e-05,0.00952969711970823,3.097494947865385e-06,3.175513092220437e-06
1.936421963946607e-05,0.009581034905931847,3.114181640626681e-06,3.1926200810037016e-06
1.946853773816382e-05,0.009632649253770777,3.1309582272279967e-06,3.209819227827802e-06
1.9573417814876617e-05,0.00968454165305529,3.1478251919415967e-06,3.227111029162609e-06
1.967886289706847e-05,0.009736713601640792,3.164783021648594e-06,3.2444959841525505e-06
1.9784876028512774e-05,0.00978916660545101,3.181832205853004e-06,3.261974594631024e-06
1.9891460269380335e-05,0.009841902178521527,3.198973236695893e-06,3.279547365134898e-06
1.9998618696327447e-05,0.009894921843043357,3.21620660896955e-06,3.2972148029190397e-06
2.0106354402584892e-05,0.009948227129406928,3.2335328201317963e-06,3.314977417970988e-06
2.0214670498047122e-05,0.01000181957624622,3.250952370320328e-06,3.332835723025655e-06
