a,b,noise_signs,status
.01,.02,"(-1, -1, -1)",indeterminate
.01,.02,"(-1, -1, 1)",indeterminate
.01,.02,"(-1, 1, -1)",indeterminate
.01,.02,"(-1, 1, 1)",indeterminate
.01,.02,"(1, -1, -1)",indeterminate
.01,.02,"(1, -1, 1)",indeterminate
.01,.02,"(1, 1, -1)",indeterminate
.01,.02,"(1, 1, 1)",indeterminate
.01,1,"(-1, -1, -1)",indeterminate
.01,1,"(-1, -1, 1)",indeterminate
.01,1,"(-1, 1, -1)",indeterminate
.01,1,"(-1, 1, 1)",indeterminate
.01,1,"(1, -1, -1)",indeterminate
.01,1,"(1, -1, 1)",indeterminate
.01,1,"(1, 1, -1)",indeterminate
.01,1,"(1, 1, 1)",indeterminate
.01,20,"(-1, -1, -1)",indeterminate
.01,20,"(-1, -1, 1)",indeterminate
.01,20,"(-1, 1, -1)",indeterminate
.01,20,"(-1, 1, 1)",indeterminate
.01,20,"(1, -1, -1)",indeterminate
.01,20,"(1, -1, 1)",indeterminate
.01,20,"(1, 1, -1)",indeterminate
.01,20,"(1, 1, 1)",indeterminate
.01,1000,"(-1, -1, -1)",indeterminate
.01,1000,"(-1, -1, 1)",indeterminate
.01,1000,"(-1, 1, -1)",indeterminate
.01,1000,"(-1, 1, 1)",indeterminate
.01,1000,"(1, -1, -1)",indeterminate
.01,1000,"(1, -1, 1)",indeterminate
.01,1000,"(1, 1, -1)",indeterminate
.01,1000,"(1, 1, 1)",indeterminate
.1,.02,"(-1, -1, -1)",indeterminate
.1,.02,"(-1, -1, 1)",indeterminate
.1,.02,"(-1, 1, -1)",indeterminate
.1,.02,"(-1, 1, 1)",indeterminate
.1,.02,"(1, -1, -1)",indeterminate
.1,.02,"(1, -1, 1)",indeterminate
.1,.02,"(1, 1, -1)",indeterminate
.1,.02,"(1, 1, 1)",indeterminate
.1,1,"(-1, -1, -1)",underresolved
.1,1,"(-1, -1, 1)",underresolved
.1,1,"(-1, 1, -1)",underresolved
.1,1,"(-1, 1, 1)",underresolved
.1,1,"(1, -1, -1)",underresolved
.1,1,"(1, -1, 1)",underresolved
.1,1,"(1, 1, -1)",underresolved
.1,1,"(1, 1, 1)",underresolved
.1,20,"(-1, -1, -1)",underresolved
.1,20,"(-1, -1, 1)",underresolved
.1,20,"(-1, 1, -1)",underresolved
.1,20,"(-1, 1, 1)",underresolved
.1,20,"(1, -1, -1)",underresolved
.1,20,"(1, -1, 1)",underresolved
.1,20,"(1, 1, -1)",underresolved
.1,20,"(1, 1, 1)",underresolved
.1,1000,"(-1, -1, -1)",underresolved
.1,1000,"(-1, -1, 1)",underresolved
.1,1000,"(-1, 1, -1)",underresolved
.1,1000,"(-1, 1, 1)",underresolved
.1,1000,"(1, -1, -1)",underresolved
.1,1000,"(1, -1, 1)",underresolved
.1,1000,"(1, 1, -1)",underresolved
.1,1000,"(1, 1, 1)",underresolved
1,.02,"(-1, -1, -1)",underresolved
1,.02,"(-1, -1, 1)",underresolved
1,.02,"(-1, 1, -1)",underresolved
1,.02,"(-1, 1, 1)",underresolved
1,.02,"(1, -1, -1)",underresolved
1,.02,"(1, -1, 1)",underresolved
1,.02,"(1, 1, -1)",underresolved
1,.02,"(1, 1, 1)",underresolved
1,1,"(-1, -1, -1)",underresolved
1,1,"(-1, -1, 1)",underresolved
1,1,"(-1, 1, -1)",underresolved
1,1,"(-1, 1, 1)",underresolved
1,1,"(1, -1, -1)",underresolved
1,1,"(1, -1, 1)",underresolved
1,1,"(1, 1, -1)",underresolved
1,1,"(1, 1, 1)",underresolved
1,20,"(-1, -1, -1)",underresolved
1,20,"(-1, -1, 1)",underresolved
1,20,"(-1, 1, -1)",underresolved
1,20,"(-1, 1, 1)",underresolved
1,20,"(1, -1, -1)",underresolved
1,20,"(1, -1, 1)",underresolved
1,20,"(1, 1, -1)",underresolved
1,20,"(1, 1, 1)",underresolved
1,1000,"(-1, -1, -1)",underresolved
1,1000,"(-1, -1, 1)",underresolved
1,1000,"(-1, 1, -1)",underresolved
1,1000,"(-1, 1, 1)",underresolved
1,1000,"(1, -1, -1)",underresolved
1,1000,"(1, -1, 1)",underresolved
1,1000,"(1, 1, -1)",underresolved
1,1000,"(1, 1, 1)",underresolved
3,.02,"(-1, -1, -1)",underresolved
3,.02,"(-1, -1, 1)",underresolved
3,.02,"(-1, 1, -1)",underresolved
3,.02,"(-1, 1, 1)",underresolved
3,.02,"(1, -1, -1)",underresolved
3,.02,"(1, -1, 1)",underresolved
3,.02,"(1, 1, -1)",underresolved
3,.02,"(1, 1, 1)",underresolved
3,1,"(-1, -1, -1)",underresolved
3,1,"(-1, -1, 1)",underresolved
3,1,"(-1, 1, -1)",underresolved
3,1,"(-1, 1, 1)",underresolved
3,1,"(1, -1, -1)",underresolved
3,1,"(1, -1, 1)",underresolved
3,1,"(1, 1, -1)",underresolved
3,1,"(1, 1, 1)",underresolved
3,20,"(-1, -1, -1)",underresolved
3,20,"(-1, -1, 1)",underresolved
3,20,"(-1, 1, -1)",underresolved
3,20,"(-1, 1, 1)",underresolved
3,20,"(1, -1, -1)",underresolved
3,20,"(1, -1, 1)",underresolved
3,20,"(1, 1, -1)",underresolved
3,20,"(1, 1, 1)",underresolved
3,1000,"(-1, -1, -1)",underresolved
3,1000,"(-1, -1, 1)",underresolved
3,1000,"(-1, 1, -1)",underresolved
3,1000,"(-1, 1, 1)",underresolved
3,1000,"(1, -1, -1)",underresolved
3,1000,"(1, -1, 1)",underresolved
3,1000,"(1, 1, -1)",underresolved
3,1000,"(1, 1, 1)",underresolved
10,.02,"(-1, -1, -1)",underresolved
10,.02,"(-1, -1, 1)",underresolved
10,.02,"(-1, 1, -1)",underresolved
10,.02,"(-1, 1, 1)",underresolved
10,.02,"(1, -1, -1)",underresolved
10,.02,"(1, -1, 1)",underresolved
10,.02,"(1, 1, -1)",underresolved
10,.02,"(1, 1, 1)",underresolved
10,1,"(-1, -1, -1)",underresolved
10,1,"(-1, -1, 1)",underresolved
10,1,"(-1, 1, -1)",underresolved
10,1,"(-1, 1, 1)",underresolved
10,1,"(1, -1, -1)",underresolved
10,1,"(1, -1, 1)",underresolved
10,1,"(1, 1, -1)",underresolved
10,1,"(1, 1, 1)",underresolved
10,20,"(-1, -1, -1)",resolved
10,20,"(-1, -1, 1)",resolved
10,20,"(-1, 1, -1)",resolved
10,20,"(-1, 1, 1)",resolved
10,20,"(1, -1, -1)",resolved
10,20,"(1, -1, 1)",resolved
10,20,"(1, 1, -1)",resolved
10,20,"(1, 1, 1)",resolved
10,1000,"(-1, -1, -1)",resolved
10,1000,"(-1, -1, 1)",resolved
10,1000,"(-1, 1, -1)",resolved
10,1000,"(-1, 1, 1)",resolved
10,1000,"(1, -1, -1)",resolved
10,1000,"(1, -1, 1)",resolved
10,1000,"(1, 1, -1)",resolved
10,1000,"(1, 1, 1)",resolved
100,.02,"(-1, -1, -1)",underresolved
100,.02,"(-1, -1, 1)",underresolved
100,.02,"(-1, 1, -1)",underresolved
100,.02,"(-1, 1, 1)",underresolved
100,.02,"(1, -1, -1)",underresolved
100,.02,"(1, -1, 1)",underresolved
100,.02,"(1, 1, -1)",underresolved
100,.02,"(1, 1, 1)",underresolved
100,1,"(-1, -1, -1)",underresolved
100,1,"(-1, -1, 1)",underresolved
100,1,"(-1, 1, -1)",underresolved
100,1,"(-1, 1, 1)",underresolved
100,1,"(1, -1, -1)",underresolved
100,1,"(1, -1, 1)",underresolved
100,1,"(1, 1, -1)",underresolved
100,1,"(1, 1, 1)",underresolved
