frame,width,region_side,reference,reference_position,reference_edge_cells,sampled_ratio,status,lower,upper,false_reassurance,largest_reference_stable,reference_eligible
laboratory,0.5,32,1.8677365107695112,"[79, 48, 79]",0,0.994620684510039,resolved,0.9927561843499346,0.993027162172102,False,False,False
laboratory,0.5,48,2.080310763115811,"[87, 73, 74]",0,0.9846531433068928,resolved,0.9849561314588813,0.9852346389690536,False,False,False
laboratory,0.5,64,2.270792839598196,"[85, 32, 49]",0,0.9862248175857143,resolved,0.9845869565476739,0.9848686261372257,False,False,False
laboratory,1.0,32,1.8677365107695112,"[79, 48, 79]",0,0.9729801647384217,resolved,0.9778476616814306,0.9781329964490043,False,False,False
laboratory,1.0,48,2.080310763115811,"[87, 73, 74]",0,0.9447648631577844,resolved,0.9704053895057265,0.9707034114988964,False,False,False
laboratory,1.0,64,2.270792839598196,"[85, 32, 49]",0,0.9493393987096952,resolved,0.9744375009194944,0.9747369296640405,False,False,False
laboratory,1.5,32,1.8677365107695112,"[79, 48, 79]",0,0.9420498243616717,resolved,0.9590166574731903,0.9593254888308168,False,False,False
laboratory,1.5,48,2.080310763115811,"[87, 73, 74]",0,0.9090792273274707,resolved,0.9607944701182196,0.9611099961386932,False,False,False
laboratory,1.5,64,2.270792839598196,"[85, 32, 49]",0,0.9103063929087681,resolved,0.9729024259194222,0.9732149528841598,False,False,False
laboratory,2.0,32,1.8677365107695112,"[79, 48, 79]",0,0.9044866605362065,resolved,0.9458921990820215,0.9462246473441207,False,False,False
laboratory,2.0,48,2.080310763115811,"[87, 73, 74]",0,0.8723080779490922,resolved,0.9556652997010359,0.9559984678991761,True,False,False
laboratory,2.0,64,2.270792839598196,"[85, 32, 49]",0,0.885421808112608,resolved,0.9680081110054195,0.9683337531945282,True,False,False
original_64_mean_subtracted,0.5,32,1.2345824789283133,"[79, 48, 79]",0,0.9944485852478333,resolved,0.9915292096323799,0.9918006411797647,False,False,False
original_64_mean_subtracted,0.5,48,1.4546031207451233,"[75, 48, 83]",4,0.9751466749505286,resolved,0.9747319717275643,0.9750216941904026,False,False,False
original_64_mean_subtracted,0.5,64,2.0890644187301164,"[32, 82, 32]",0,0.9923489046402514,resolved,0.9928241858906695,0.9930952730810806,False,False,False
original_64_mean_subtracted,1.0,32,1.2345824789283133,"[79, 48, 79]",0,0.9686276015872599,resolved,0.9691774486798284,0.9694713990429168,False,False,False
original_64_mean_subtracted,1.0,48,1.4546031207451233,"[75, 48, 83]",4,0.9204624989013532,resolved,0.9823992307480828,0.9826980884071588,False,False,False
original_64_mean_subtracted,1.0,64,2.0890644187301164,"[32, 82, 32]",0,0.9722678530953556,resolved,0.9855240257130025,0.9858036759757524,False,False,False
original_64_mean_subtracted,1.5,32,1.2345824789283133,"[79, 48, 79]",0,0.9300841483412167,resolved,0.9373880212044052,0.9377216456468468,False,False,False
original_64_mean_subtracted,1.5,48,1.4546031207451233,"[75, 48, 83]",4,0.8977377793553726,resolved,0.9740432440765016,0.9743538163371903,True,False,False
original_64_mean_subtracted,1.5,64,2.0890644187301164,"[32, 82, 32]",0,0.9520941100171227,resolved,0.9840283492101136,0.9843138915695426,False,False,False
original_64_mean_subtracted,2.0,32,1.2345824789283133,"[79, 48, 79]",0,0.8804453287818894,resolved,0.903965274571967,0.9043512993787768,True,False,False
original_64_mean_subtracted,2.0,48,1.4546031207451233,"[75, 48, 83]",4,0.8771968977962515,resolved,0.9628318908239891,0.9631549058878122,True,False,False
original_64_mean_subtracted,2.0,64,2.0890644187301164,"[32, 82, 32]",0,0.9365924478204904,resolved,0.9824936702970534,0.9827855234800474,False,False,False
expanded_128_mean_subtracted,0.5,32,1.3719918506292352,"[73, 50, 79]",0,0.961084396391801,resolved,0.9581512783563957,0.9584579206904615,False,False,False
expanded_128_mean_subtracted,0.5,48,1.5246602205727082,"[56, 53, 83]",4,0.9761701282023169,resolved,0.9776727119958206,0.977957768989765,False,False,False
expanded_128_mean_subtracted,0.5,64,1.808493265839831,"[32, 82, 32]",0,0.9909552606557324,resolved,0.9915730347938119,0.9918449339572593,False,False,False
expanded_128_mean_subtracted,1.0,32,1.3719918506292352,"[73, 50, 79]",0,0.8752043158401879,resolved,0.97154561053282,0.9718681172591043,True,False,False
expanded_128_mean_subtracted,1.0,48,1.5246602205727082,"[56, 53, 83]",4,0.9178214866770411,resolved,0.9582457236536249,0.9585628712871168,False,False,False
expanded_128_mean_subtracted,1.0,64,1.808493265839831,"[32, 82, 32]",0,0.9673912533107584,resolved,0.9832829891149173,0.9835650371738918,False,False,False
expanded_128_mean_subtracted,1.5,32,1.3719918506292352,"[73, 50, 79]",0,0.8413736947601096,resolved,0.9458018912505206,0.9461604114499231,True,False,False
expanded_128_mean_subtracted,1.5,48,1.5246602205727082,"[56, 53, 83]",4,0.8657958273654913,resolved,0.9405491755409049,0.9408973169453444,True,False,False
expanded_128_mean_subtracted,1.5,64,1.808493265839831,"[32, 82, 32]",0,0.9441813697493785,resolved,0.9821208688677625,0.9824096023144482,False,False,False
expanded_128_mean_subtracted,2.0,32,1.3719918506292352,"[73, 50, 79]",0,0.7993522451084683,resolved,0.9220319215989403,0.9224340126666641,True,False,False
expanded_128_mean_subtracted,2.0,48,1.5246602205727082,"[56, 53, 83]",4,0.8204164594929195,resolved,0.9220634263221812,0.922445687173016,True,False,False
expanded_128_mean_subtracted,2.0,64,1.808493265839831,"[32, 82, 32]",0,0.9266791834835306,resolved,0.9810553503739133,0.9813511728806482,False,False,False
