kind,frame,width,center,region_side,field,value,position,edge
central,laboratory,0.5,64_64_64,32,0,1.8677365107695112,"[79, 48, 79]",0
central,laboratory,0.5,64_64_64,32,1,1.857689366825963,"[79, 48, 79]",0
central,laboratory,0.5,64_64_64,32,2,1.8247052293047978,"[79, 48, 79]",0
central,laboratory,0.5,64_64_64,32,3,1.8515178281378495,"[79, 48, 79]",0
central,laboratory,0.5,64_64_64,32,4,1.8397996351626358,"[79, 48, 79]",0
central,laboratory,0.5,64_64_64,32,5,1.817270577936484,"[79, 48, 79]",0
central,laboratory,0.5,64_64_64,48,0,2.080310763115811,"[87, 73, 74]",0
central,laboratory,0.5,64_64_64,48,1,2.048384531957144,"[87, 72, 75]",0
central,laboratory,0.5,64_64_64,48,2,1.986061040820788,"[87, 72, 75]",0
central,laboratory,0.5,64_64_64,48,3,2.0209633657353168,"[87, 72, 75]",0
central,laboratory,0.5,64_64_64,48,4,2.0063227170987177,"[87, 72, 75]",0
central,laboratory,0.5,64_64_64,48,5,1.9654045134407752,"[87, 72, 75]",0
central,laboratory,0.5,64_64_64,64,0,2.270792839598196,"[85, 32, 49]",0
central,laboratory,0.5,64_64_64,64,1,2.239512254007677,"[85, 32, 49]",0
central,laboratory,0.5,64_64_64,64,2,2.199770989236259,"[85, 32, 48]",0
central,laboratory,0.5,64_64_64,64,3,2.1796118105557514,"[85, 32, 48]",0
central,laboratory,0.5,64_64_64,64,4,2.193807539327142,"[85, 32, 48]",0
central,laboratory,0.5,64_64_64,64,5,2.1557531089384327,"[85, 32, 48]",0
event,laboratory,0.5,"[65, 82, 63]",17,0,1.8282725764835186,"[69, 85, 70]",1
event,laboratory,0.5,"[65, 82, 63]",17,1,1.7884602192437962,"[69, 85, 70]",1
event,laboratory,0.5,"[65, 82, 63]",17,2,1.7461093794155904,"[69, 84, 69]",2
event,laboratory,0.5,"[65, 82, 63]",17,3,1.7360972963032832,"[69, 84, 68]",3
event,laboratory,0.5,"[65, 82, 63]",17,4,1.7430305235213424,"[69, 84, 68]",3
event,laboratory,0.5,"[65, 82, 63]",17,5,1.708517840153137,"[68, 83, 68]",3
event,laboratory,0.5,"[65, 82, 63]",25,0,1.8282725764835186,"[69, 85, 70]",5
event,laboratory,0.5,"[65, 82, 63]",25,1,1.7884602192437962,"[69, 85, 70]",5
event,laboratory,0.5,"[65, 82, 63]",25,2,1.7461093794155904,"[69, 84, 69]",6
event,laboratory,0.5,"[65, 82, 63]",25,3,1.741382622842041,"[71, 90, 73]",2
